,id,program_id,zipcode,org_id,min_age,max_age,price,start_date,latitude,longitude
29461,26383,6976,60625,14,28,30,0.0,2016-03-28,41.971106799999994,-87.70248169999998
29462,26431,10821,60622,14,28,30,0.0,2016-03-28,41.90130870000001,-87.68276759999998
29463,26435,7662,60627,14,28,30,0.0,2016-04-01,,
29464,26462,5801,60609,14,22,30,0.0,2016-04-01,41.8062766,-87.6482474
29465,26467,10834,60655,14,22,30,0.0,2016-03-28,41.693154299999996,-87.7123355
29466,26470,10837,60619,14,25,30,0.0,2016-03-28,41.7458012,-87.60876379999998
29467,26474,7418,60617,14,28,30,0.0,2016-03-29,41.7246539,-87.5494745
29468,26490,7319,60628,14,22,30,0.0,2016-04-02,41.686480700000004,-87.62850990000001
29469,26498,7641,60619,14,28,30,0.0,2016-03-31,41.7458012,-87.60876379999998
29470,26502,10843,60626,14,28,30,0.0,2016-05-11,42.0099321,-87.663045
29471,26507,419,60629,14,28,30,0.0,2016-03-29,41.7727709,-87.7123355
29472,26530,10850,60639,14,28,30,0.0,2016-04-01,41.9225138,-87.75172950000001
29473,26534,7046,60644,14,28,30,0.0,2016-03-28,41.8828292,-87.75172950000001
29474,26568,8024,60629,14,28,30,0.0,2016-03-29,41.7727709,-87.7123355
29475,26576,7682,60618,14,28,30,0.0,2016-03-31,41.9464283,-87.70740889999998
29476,26577,7378,60615,14,28,30,0.0,2016-04-02,41.8003921,-87.603826
29477,26587,10863,60626,14,28,30,0.0,2016-03-31,42.0099321,-87.663045
29478,26591,8735,60626,14,28,30,0.0,2016-03-31,42.0099321,-87.663045
29479,26599,255,60624,14,28,30,0.0,2016-03-29,41.8822489,-87.7221872
29480,26622,483,60615,14,28,30,0.0,2016-03-28,41.8003921,-87.603826
29481,26631,5359,60629,14,28,30,0.0,2016-03-28,41.7727709,-87.7123355
29482,26671,4178,60652,14,28,30,0.0,2016-03-30,41.7429283,-87.7123355
29483,26698,4242,60616,14,28,30,0.0,2016-03-28,41.8403395,-87.6137011
29484,26740,7310,60618,14,28,30,0.0,2016-03-31,41.9464283,-87.70740889999998
29485,26755,487,60642,14,28,30,0.0,2016-03-29,41.90070970000001,-87.65318049999998
29486,26758,8575,60629,14,22,30,0.0,2016-03-29,41.7727709,-87.7123355
29487,26762,8922,60618,14,28,30,0.0,2016-03-28,41.9464283,-87.70740889999998
29488,26777,4184,60616,14,28,30,0.0,2016-03-31,41.8403395,-87.6137011
29489,26794,267,60630,14,28,30,0.0,2016-03-29,41.9720786,-87.75172950000001
29490,26823,7783,60619,14,28,30,0.0,2016-03-31,41.7458012,-87.60876379999998
29491,26826,6106,60619,14,28,30,0.0,2016-03-30,41.7458012,-87.60876379999998
29492,26850,5468,60630,14,28,30,0.0,2016-04-02,41.9720786,-87.75172950000001
29493,26859,495,60625,14,28,30,0.0,2016-03-31,41.971106799999994,-87.70248169999998
29494,26863,8265,60629,14,25,30,0.0,2016-04-02,41.7727709,-87.7123355
29495,26866,10882,60640,14,28,30,0.0,2016-03-28,41.970313299999994,-87.663045
29496,26899,245,60612,14,28,30,0.0,2016-03-31,41.881660600000004,-87.6926257
29497,26907,386,60646,14,28,30,0.0,2016-03-31,41.9920835,-87.7615726
29498,26922,228,60636,14,28,30,0.0,2016-03-28,41.7719816,-87.6729074
29499,26932,393,60620,14,28,30,0.0,2016-05-06,41.7470143,-87.6679765
29500,26953,399,60616,14,28,30,0.0,2016-03-29,41.8403395,-87.6137011
29501,26968,7824,60644,14,28,30,0.0,2016-03-29,41.8828292,-87.75172950000001
29502,26974,184,60649,14,28,30,0.0,2016-03-29,41.759792100000006,-87.56430399999998
29503,27009,175,60608,14,28,30,0.0,2016-03-29,41.849212200000004,-87.6713199
29504,27015,6167,60616,14,28,30,0.0,2016-04-01,41.8403395,-87.6137011
29505,27034,181,60638,14,28,30,0.0,2016-03-29,41.78874829999999,-87.7664934
29506,27110,7418,60617,14,28,30,0.0,2016-04-02,41.7246539,-87.5494745
29507,27150,7457,60645,14,28,30,0.0,2016-04-02,42.0105286,-87.6926257
29508,27162,6880,60615,14,28,30,0.0,2016-03-28,41.8003921,-87.603826
29509,27226,5386,60601,14,28,30,0.0,2016-03-31,41.8839927,-87.61970559999997
29510,27231,5386,60601,14,28,30,0.0,2016-03-29,41.8839927,-87.61970559999997
29511,27234,231,60607,14,28,30,0.0,2016-03-29,41.8733696,-87.65071400000001
29512,27239,5395,60618,14,28,30,0.0,2016-03-30,41.9464283,-87.70740889999998
29513,27244,6905,60621,14,28,30,0.0,2016-03-28,41.7713803,-87.64331390000001
29514,27268,7512,60618,14,28,30,0.0,2016-05-21,41.9464283,-87.70740889999998
29515,11120,4792,60636,14,13,18,0.0,2015-08-24,41.7719816,-87.6729074
29516,11132,4802,60612,14,6,18,0.0,2015-08-10,41.881660600000004,-87.6926257
29517,11142,4808,60639,14,6,18,0.0,2015-08-24,41.9225138,-87.75172950000001
29518,22268,8058,60616,14,2,6,0.0,2016-03-31,41.8403395,-87.6137011
29519,11153,4814,60644,14,6,18,0.0,2015-08-29,41.8828292,-87.75172950000001
29520,11167,4823,60620,14,6,18,0.0,2015-08-10,41.7470143,-87.6679765
29521,22298,7065,60608,14,3,6,0.0,2016-03-28,41.849212200000004,-87.6713199
29522,11187,4834,60637,14,6,18,0.0,2015-08-10,41.7805099,-87.603826
29523,11191,4836,60652,14,6,18,0.0,2015-08-10,41.7429283,-87.7123355
